Engine Fuel Type,Transmission Type,Driven_Wheels,Market Category,Vehicle Size,Vehicle Style,Engine HP,Engine Cylinders,Number of Doors,highway MPG,city mpg,MSRP,Popularity,,Make,Year
premium unleaded (required),MANUAL,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,335,6,2,26,19,46135,3916,,BMW,2011
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,300,6,2,28,19,40650,3916,,BMW,2011
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,300,6,2,28,20,36350,3916,,BMW,2011
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,230,6,2,28,18,29450,3916,,BMW,2011
premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,230,6,2,28,18,34500,3916,,BMW,2011
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,230,6,2,28,18,31200,3916,,BMW,2012
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,300,6,2,26,17,44100,3916,,BMW,2012
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,300,6,2,28,20,39300,3916,,BMW,2012
premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,230,6,2,28,18,36900,3916,,BMW,2012
premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,230,6,2,27,18,37200,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,300,6,2,28,20,39600,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,230,6,2,28,19,31500,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Convertible,300,6,2,28,19,44400,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,Luxury,Compact,Convertible,230,6,2,28,19,37200,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,230,6,2,28,19,31500,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Convertible,320,6,2,25,18,48250,3916,,BMW,2013
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,High-Performance",Compact,Coupe,320,6,2,28,20,43550,3916,,BMW,2013
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1992
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1992
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,172,6,4,20,16,2000,3105,,Audi,1992
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1992
regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,172,6,4,21,16,2000,3105,,Audi,1992
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1993
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,172,6,4,20,16,2000,3105,,Audi,1993
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1993
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,24,17,2000,3105,,Audi,1993
regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,172,6,4,21,16,2000,3105,,Audi,1993
regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Wagon,172,6,4,21,16,2000,3105,,Audi,1994
regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,172,6,4,22,16,2000,3105,,Audi,1994
regular unleaded,MANUAL,front wheel drive,Luxury,Midsize,Sedan,172,6,4,22,17,2000,3105,,Audi,1994
regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,172,6,4,22,16,2000,3105,,Audi,1994
regular unleaded,AUTOMATIC,all wheel drive,Luxury,Midsize,Wagon,172,6,4,21,16,2000,3105,,Audi,1994
premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,160,4,2,35,26,27495,819,,FIAT,2017
premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,160,4,2,35,26,24995,819,,FIAT,2017
premium unleaded (recommended),MANUAL,rear wheel drive,Performance,Compact,Convertible,160,4,2,35,26,28195,819,,FIAT,2017
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,130,4,4,26,18,2000,617,,Mercedes-Benz,1991
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,158,6,4,25,17,2000,617,,Mercedes-Benz,1991
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,158,6,4,25,17,2000,617,,Mercedes-Benz,1992
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,130,4,4,26,18,2000,617,,Mercedes-Benz,1992
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,130,4,4,26,18,2000,617,,Mercedes-Benz,1993
regular unleaded,MANUAL,rear wheel drive,Luxury,Compact,Sedan,158,6,4,25,17,2000,617,,Mercedes-Benz,1993
premium unleaded (required),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,240,4,2,35,23,32850,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,Luxury,Compact,Convertible,240,4,2,34,23,38650,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,320,6,2,31,20,48750,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Luxury,Performance",Compact,Coupe,240,4,2,35,23,34850,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,240,4,2,34,22,40650,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,320,6,2,31,20,44150,3916,,BMW,2016
premium unleaded (required),MANUAL,rear wheel drive,"Luxury,Performance",Compact,Coupe,240,4,2,34,22,32850,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,320,6,2,30,20,46150,3916,,BMW,2016
premium unleaded (required),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,320,6,2,30,20,50750,3916,,BMW,2016
premium unleaded (recommended),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,335,6,2,31,21,46450,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,335,6,2,32,21,49050,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,335,6,2,32,21,51050,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,335,6,2,32,21,44450,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Convertible,248,4,2,34,23,38950,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,rear wheel drive,"Luxury,Performance",Compact,Coupe,248,4,2,35,24,33150,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,"Luxury,Performance",Compact,Coupe,248,4,2,33,24,35150,3916,,BMW,2017
premium unleaded (recommended),AUTOMATIC,all wheel drive,Luxury,Compact,Convertible,248,4,2,33,23,40950,3916,,BMW,2017
regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,162,5,4,20,16,2000,3105,,Audi,1990
regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Wagon,162,5,4,22,15,2000,3105,,Audi,1990
regular unleaded,MANUAL,all wheel drive,Luxury,Midsize,Sedan,162,5,4,23,15,2000,3105,,Audi,1990
regular unleaded,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Sedan,217,5,4,22,16,2000,3105,,Audi,1991
regular unleaded,MANUAL,all wheel drive,"Luxury,Performance",Midsize,Wagon,217,5,4,22,16,2000,3105,,Audi,1991
regular unleaded,AUTOMATIC,front wheel drive,Luxury,Midsize,Sedan,162,5,4,20,16,2000,3105,,Audi,1991
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,25170,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,23950,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,29,18,29370,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,21995,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,"Flex Fuel,Performance",Midsize,Sedan,184,4,4,36,23,26625,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,all wheel drive,"Flex Fuel,Performance",Midsize,Sedan,295,6,4,29,18,30825,1013,,Chrysler,2015
flex-fuel (unleaded/E85),AUTOMATIC,front wheel drive,Flex Fuel,Midsize,Sedan,184,4,4,36,23,21995,1013,,Chrysler,2016
